INSTANCE,DEF,MAXP,MAXPW,MINW,CCA,KNN,LOGREG,MLPC,RF,SVM
GA-MAXP_EASY_100_027.kp,159,565,479,234,565,159,159,565,159,159
GA-MAXP_EASY_100_028.kp,200,744,674,550,744,410,324,744,744,744
GA-MAXP_EASY_100_029.kp,136,516,438,359,516,136,136,136,136,136
GA-MAXP_EASY_100_030.kp,145,751,667,439,751,751,439,751,751,751
GA-MAXP_EASY_100_031.kp,288,661,580,384,661,288,288,661,661,661
GA-MAXP_EASY_100_032.kp,110,646,575,424,424,164,164,241,110,110
GA-MAXP_EASY_100_033.kp,4,808,727,670,808,4,4,4,4,4
GA-MAXP_EASY_100_034.kp,515,864,791,728,728,515,515,515,515,515
GA-MAXP_EASY_100_035.kp,201,1027,942,750,1027,1027,710,1027,1027,1027
GA-MAXP_EASY_100_036.kp,331,912,841,667,912,714,331,912,912,912
GA-MAXP_EASY_100_037.kp,378,827,750,634,827,784,378,378,678,680
GA-MAXP_EASY_100_038.kp,319,714,626,626,626,319,319,319,319,319
GA-MAXP_EASY_100_039.kp,110,950,887,798,950,374,110,581,887,773
GA-MAXP_EASY_100_040.kp,238,1054,966,966,966,238,238,238,238,238
GA-MAXP_EASY_100_041.kp,254,730,658,535,730,730,619,730,730,730
GA-MAXP_EASY_100_042.kp,99,912,837,601,601,616,99,912,616,912
GA-MAXP_EASY_100_043.kp,444,949,867,754,754,539,536,949,949,949
GA-MAXP_EASY_100_044.kp,253,631,563,456,631,253,253,253,253,253
GA-MAXP_EASY_100_045.kp,167,650,587,332,650,334,167,650,506,650
GA-MAXP_EASY_100_046.kp,213,821,750,535,741,213,213,661,213,661
GA-MAXP_EASY_100_047.kp,193,781,700,625,781,781,193,193,577,577
GA-MAXP_EASY_100_048.kp,326,724,655,589,724,724,513,724,724,724
GA-MAXP_EASY_100_049.kp,143,586,522,522,586,586,143,586,586,586
GA-MAXP_EASY_100_050.kp,195,997,923,804,997,997,541,997,997,997
GA-MAXP_EASY_100_051.kp,248,932,853,735,932,932,248,932,932,932
GA-MAXP_EASY_100_052.kp,222,960,883,662,960,960,356,960,960,960
GA-MAXP_EASY_100_053.kp,271,925,835,835,835,925,659,659,830,925
GA-MAXP_EASY_100_054.kp,152,703,635,525,703,152,152,703,300,703
GA-MAXP_EASY_100_055.kp,491,763,689,599,599,669,491,491,491,491
GA-MAXP_EASY_100_056.kp,292,722,633,520,722,722,292,722,722,722
GA-MAXP_EASY_100_057.kp,305,852,772,771,771,298,305,305,305,305
GA-MAXP_EASY_100_058.kp,458,590,522,458,590,491,458,458,458,458
GA-MAXP_EASY_100_059.kp,52,780,686,582,780,52,52,52,754,52
GA-MAXP_EASY_100_060.kp,118,915,848,762,762,440,118,319,319,319
GA-MAXP_EASY_100_061.kp,598,1061,991,888,888,598,598,598,706,706
GA-MAXP_EASY_100_062.kp,421,1030,955,747,1030,701,421,341,701,963
GA-MAXP_EASY_100_063.kp,249,959,896,666,959,959,249,959,959,959
GA-MAXP_EASY_100_064.kp,229,663,582,425,663,663,229,663,663,663
GA-MAXP_EASY_100_065.kp,178,799,724,612,612,178,178,178,178,178
GA-MAXP_EASY_100_066.kp,299,1033,946,924,946,356,356,299,299,331
GA-MAXP_EASY_100_067.kp,32,699,620,502,502,32,32,32,32,32
GA-MAXP_EASY_100_068.kp,170,787,703,638,787,787,170,787,787,787
GA-MAXP_EASY_100_069.kp,288,745,672,672,745,288,288,288,288,288
GA-MAXP_EASY_100_070.kp,160,803,735,634,803,803,160,803,803,803
GA-MAXP_EASY_100_071.kp,331,1053,975,862,1053,434,726,331,331,762
GA-MAXP_EASY_100_072.kp,523,749,681,573,749,749,523,749,749,749
GA-MAXP_EASY_100_073.kp,62,941,865,745,941,941,865,941,941,941
GA-MAXP_EASY_100_074.kp,284,677,607,607,677,360,284,284,284,284
GA-MAXP_EASY_100_075.kp,388,769,692,601,769,509,388,769,659,769
GA-MAXP_EASY_100_076.kp,400,854,781,554,854,854,359,854,854,854
GA-MAXP_EASY_100_077.kp,172,948,882,696,948,503,172,948,780,948
GA-MAXP_EASY_100_078.kp,413,813,729,638,813,596,413,413,532,413
GA-MAXP_EASY_100_079.kp,324,848,782,607,848,478,324,848,653,848
GA-MAXP_EASY_100_080.kp,254,957,882,771,869,254,254,254,254,254
GA-MAXP_EASY_100_081.kp,197,634,554,468,468,197,197,197,197,197
GA-MAXP_EASY_100_082.kp,119,672,587,587,672,663,119,428,663,663
GA-MAXP_EASY_100_083.kp,288,729,650,542,729,729,288,729,729,729
GA-MAXP_EASY_100_084.kp,338,1135,1051,1051,1135,698,595,1135,1135,1135
GA-MAXP_EASY_100_085.kp,96,533,445,359,533,96,96,533,96,533
GA-MAXP_EASY_100_086.kp,239,868,799,799,868,416,323,868,239,868
GA-MAXP_EASY_100_087.kp,168,780,711,510,780,336,168,780,536,780
GA-MAXP_EASY_100_088.kp,65,903,810,810,903,861,409,903,847,903
GA-MAXP_EASY_100_089.kp,244,767,700,448,767,767,474,767,767,767
GA-MAXP_EASY_100_090.kp,144,818,743,658,818,574,548,818,574,818
GA-MAXP_EASY_100_091.kp,359,1084,994,994,1084,605,645,359,696,769
GA-MAXP_EASY_100_092.kp,363,845,768,768,845,363,363,363,363,363
GA-MAXP_EASY_100_093.kp,332,754,666,581,581,332,332,332,332,332
GA-MAXP_EASY_100_094.kp,294,764,695,506,764,294,294,764,405,764
GA-MAXP_EASY_100_095.kp,485,971,896,789,971,804,485,971,971,971
GA-MAXP_EASY_100_096.kp,58,774,703,603,774,574,58,774,774,774
GA-MAXP_EASY_100_097.kp,284,782,721,646,744,381,284,284,284,284
GA-MAXP_EASY_100_098.kp,114,686,614,537,537,493,114,686,114,656
GA-MAXP_EASY_100_099.kp,143,840,768,726,840,738,374,785,840,840
GA-MINW_EASY_100_000.kp,420,520,1186,1262,1173,1173,1159,897,996,897
GA-MINW_EASY_100_001.kp,286,327,715,782,782,782,286,258,258,286
GA-MINW_EASY_100_002.kp,229,275,1000,1062,1062,564,546,708,751,546
GA-MINW_EASY_100_003.kp,431,872,954,1015,1015,1015,1015,1015,1015,1015
GA-MINW_EASY_100_004.kp,207,535,925,986,986,625,986,654,625,654
GA-MINW_EASY_100_005.kp,479,721,1165,1233,1233,816,1150,971,896,983
GA-MINW_EASY_100_006.kp,83,446,1140,1222,446,437,970,437,505,802
GA-MINW_EASY_100_007.kp,283,475,883,948,948,793,283,540,642,540
GA-MINW_EASY_100_008.kp,391,488,1285,1354,1287,1169,1285,1169,1169,1129
GA-MINW_EASY_100_009.kp,207,454,1038,1108,1108,912,1108,1015,912,1108
GA-MINW_EASY_100_010.kp,285,590,1441,1511,1511,839,1115,847,839,847
GA-MINW_EASY_100_011.kp,330,585,934,996,996,726,996,996,855,726
GA-MINW_EASY_100_012.kp,283,380,875,941,941,941,875,941,941,941
GA-MINW_EASY_100_013.kp,85,375,1007,1075,930,724,731,219,724,715
GA-MINW_EASY_100_014.kp,71,380,1014,1096,1096,891,760,891,892,903
GA-MINW_EASY_100_015.kp,213,822,1284,1346,902,1290,1346,1198,1292,1290
GA-MINW_EASY_100_016.kp,342,536,1013,1088,1088,888,952,952,952,888
GA-MINW_EASY_100_017.kp,350,128,1130,1202,962,962,1115,962,962,962
GA-MINW_EASY_100_018.kp,378,481,1140,1219,1219,488,488,613,488,487
GA-MINW_EASY_100_019.kp,232,518,970,1053,1053,803,787,889,917,797
GA-MINW_EASY_100_020.kp,127,420,911,985,985,767,911,916,985,985
GA-MINW_EASY_100_021.kp,343,345,1250,1316,1316,1316,1316,1316,1316,1316
GA-MINW_EASY_100_022.kp,399,595,922,981,595,724,428,399,724,595
GA-MINW_EASY_100_023.kp,341,203,911,986,986,579,911,837,817,625
GA-MINW_EASY_100_024.kp,355,714,1062,1127,1127,517,355,355,355,355
GA-MINW_EASY_100_025.kp,194,720,1162,1221,1221,880,1049,1049,1039,1039
GA-MINW_EASY_100_026.kp,400,457,957,1022,1022,659,955,856,960,659
GA-MINW_EASY_100_027.kp,439,366,1209,1281,1281,439,823,621,439,621
